DateTime,Tempc
6/18/2022 7:03,9.1
6/18/2022 7:33,9.1
6/18/2022 8:03,9.6
6/18/2022 8:33,9.6
6/18/2022 9:03,9.6
6/18/2022 9:33,9.6
6/18/2022 10:03,9.6
6/18/2022 10:33,9.6
6/18/2022 11:03,9.6
6/18/2022 11:33,9.6
6/18/2022 12:03,10.1
6/18/2022 12:33,10.1
6/18/2022 13:03,10.1
6/18/2022 13:33,10.1
6/18/2022 14:03,10.1
6/18/2022 14:33,10.1
6/18/2022 15:03,9.6
6/18/2022 15:33,9.6
6/18/2022 16:03,9.6
6/18/2022 16:33,9.6
6/18/2022 17:03,9.1
6/18/2022 17:33,9.1
6/18/2022 18:03,9.6
6/18/2022 18:33,9.6
6/18/2022 19:03,9.6
6/18/2022 19:33,9.6
6/18/2022 20:03,9.6
6/18/2022 20:33,9.6
6/18/2022 21:03,9.6
6/18/2022 21:33,9.6
6/18/2022 22:03,9.6
6/18/2022 22:33,9.6
6/18/2022 23:03,9.1
6/18/2022 23:33,8.6
6/19/2022 0:03,8.6
6/19/2022 0:33,8.1
6/19/2022 1:03,8.1
6/19/2022 1:33,8.1
6/19/2022 2:03,8.1
6/19/2022 2:33,8.1
6/19/2022 3:03,7.6
6/19/2022 3:33,7.6
6/19/2022 4:03,7.6
6/19/2022 4:33,7.1
6/19/2022 5:03,7.1
6/19/2022 5:33,7.1
6/19/2022 6:03,7.1
6/19/2022 6:33,7.1
6/19/2022 7:03,7.1
6/19/2022 7:33,7.6
6/19/2022 8:03,8.6
6/19/2022 8:33,9.6
6/19/2022 9:03,10.1
6/19/2022 9:33,10.6
6/19/2022 10:03,12.1
6/19/2022 10:33,12.1
6/19/2022 11:03,13.1
6/19/2022 11:33,13.6
6/19/2022 12:03,14.1
6/19/2022 12:33,15.1
6/19/2022 13:03,15.1
6/19/2022 13:33,15.6
6/19/2022 14:03,15.6
6/19/2022 14:33,16.1
6/19/2022 15:03,16.6
6/19/2022 15:33,16.6
6/19/2022 16:03,16.6
6/19/2022 16:33,17.1
6/19/2022 17:03,17.6
6/19/2022 17:33,17.1
6/19/2022 18:03,17.1
6/19/2022 18:33,16.6
6/19/2022 19:03,16.6
6/19/2022 19:33,16.1
6/19/2022 20:03,15.6
6/19/2022 20:33,15.1
6/19/2022 21:03,15.1
6/19/2022 21:33,14.6
6/19/2022 22:03,14.1
6/19/2022 22:33,14.1
6/19/2022 23:03,13.6
6/19/2022 23:33,13.1
6/20/2022 0:03,12.6
6/20/2022 0:33,12.1
6/20/2022 1:03,12.1
6/20/2022 1:33,11.1
6/20/2022 2:03,10.1
6/20/2022 2:33,10.1
6/20/2022 3:03,9.6
6/20/2022 3:33,9.6
6/20/2022 4:03,9.1
6/20/2022 4:33,9.1
6/20/2022 5:03,8.6
6/20/2022 5:33,8.6
6/20/2022 6:03,8.6
6/20/2022 6:33,9.1
6/20/2022 7:03,10.1
6/20/2022 7:33,11.6
6/20/2022 8:03,12.6
6/20/2022 8:33,13.6
6/20/2022 9:03,15.1
6/20/2022 9:33,15.6
6/20/2022 10:03,17.6
6/20/2022 10:33,18.1
6/20/2022 11:03,18.6
6/20/2022 11:33,19.6
6/20/2022 12:03,20.1
6/20/2022 12:33,20.6
6/20/2022 13:03,21.1
6/20/2022 13:33,21.1
6/20/2022 14:03,21.6
6/20/2022 14:33,21.6
