"Name..SCP_1.csv........."
"User Name	,,,,,,,,,"
"Description:,,,,,,,,,"
"	,,,,,,,,,"
"Start Time:,11/17/2021 15:20,,,,,,,,"
"End Time:,11/17/2021 15:57,,,,,,,,"
"Elapsed Time:,00000Day00:36:54,,,,,,,,"
"Interval:,1 sec,,,,,,,,"
"Data Number:,2215,,,,,,,,"
",,,,,,,,,"
"No.,Data,Time,ID.,CH 1,Type,Unit,CH 2,Type,Unit"
"196,11/17/2021,15:23:40,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"197,11/17/2021,15:23:41,0,-17.9,K,Deg-C,-17.7,K,Deg-C"
"198,11/17/2021,15:23:42,0,-17.9,K,Deg-C,-17.8,K,Deg-C"
"199,11/17/2021,15:23:43,0,-18,K,Deg-C,-17.8,K,Deg-C"
"200,11/17/2021,15:23:44,0,-17.9,K,Deg-C,-17.8,K,Deg-C"
"201,11/17/2021,15:23:45,0,-18,K,Deg-C,-17.8,K,Deg-C"
"202,11/17/2021,15:23:46,0,-18,K,Deg-C,-17.8,K,Deg-C"
"203,11/17/2021,15:23:47,0,-18,K,Deg-C,-17.8,K,Deg-C"
"204,11/17/2021,15:23:48,0,-18,K,Deg-C,-17.8,K,Deg-C"
"205,11/17/2021,15:23:49,0,-18,K,Deg-C,-17.8,K,Deg-C"
"206,11/17/2021,15:23:50,0,-18,K,Deg-C,-17.8,K,Deg-C"
"207,11/17/2021,15:23:51,0,-18,K,Deg-C,-17.8,K,Deg-C"
"208,11/17/2021,15:23:52,0,-18,K,Deg-C,-17.8,K,Deg-C"
"209,11/17/2021,15:23:53,0,-18,K,Deg-C,-17.8,K,Deg-C"
"210,11/17/2021,15:23:54,0,-18,K,Deg-C,-17.8,K,Deg-C"
"211,11/17/2021,15:23:55,0,-18,K,Deg-C,-17.9,K,Deg-C"
"212,11/17/2021,15:23:56,0,-18,K,Deg-C,-17.9,K,Deg-C"
"213,11/17/2021,15:23:57,0,-18,K,Deg-C,-17.9,K,Deg-C"
"214,11/17/2021,15:23:58,0,-18,K,Deg-C,-17.9,K,Deg-C"
"215,11/17/2021,15:23:59,0,-18,K,Deg-C,-17.9,K,Deg-C"
"216,11/17/2021,15:24:00,0,-18.1,K,Deg-C,-17.9,K,Deg-C"
"217,11/17/2021,15:24:01,0,-18,K,Deg-C,-17.9,K,Deg-C"
"218,11/17/2021,15:24:02,0,-18.1,K,Deg-C,-17.9,K,Deg-C"
"219,11/17/2021,15:24:03,0,-18.1,K,Deg-C,-17.9,K,Deg-C"
"220,11/17/2021,15:24:04,0,-18.1,K,Deg-C,-17.9,K,Deg-C"
"221,11/17/2021,15:24:05,0,-18.1,K,Deg-C,-17.9,K,Deg-C"
"222,11/17/2021,15:24:06,0,-18.1,K,Deg-C,-18,K,Deg-C"
"223,11/17/2021,15:24:07,0,-18.1,K,Deg-C,-18,K,Deg-C"
"224,11/17/2021,15:24:08,0,-18.1,K,Deg-C,-18,K,Deg-C"
"225,11/17/2021,15:24:09,0,-18.1,K,Deg-C,-18,K,Deg-C"
"226,11/17/2021,15:24:10,0,-18.1,K,Deg-C,-18,K,Deg-C"
"227,11/17/2021,15:24:11,0,-18.1,K,Deg-C,-18,K,Deg-C"
"228,11/17/2021,15:24:12,0,-18.1,K,Deg-C,-18,K,Deg-C"
"229,11/17/2021,15:24:13,0,-18.1,K,Deg-C,-18,K,Deg-C"
"230,11/17/2021,15:24:14,0,-18.1,K,Deg-C,-18,K,Deg-C"
"231,11/17/2021,15:24:15,0,-18.1,K,Deg-C,-18,K,Deg-C"
"232,11/17/2021,15:24:16,0,-18.1,K,Deg-C,-18,K,Deg-C"
"233,11/17/2021,15:24:17,0,-18.1,K,Deg-C,-18,K,Deg-C"
"234,11/17/2021,15:24:18,0,-18.1,K,Deg-C,-18,K,Deg-C"
"235,11/17/2021,15:24:19,0,-18.1,K,Deg-C,-18,K,Deg-C"
"236,11/17/2021,15:24:20,0,-18.1,K,Deg-C,-18,K,Deg-C"
"237,11/17/2021,15:24:21,0,-18.1,K,Deg-C,-18,K,Deg-C"
"238,11/17/2021,15:24:22,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"239,11/17/2021,15:24:23,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"240,11/17/2021,15:24:24,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"241,11/17/2021,15:24:25,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"242,11/17/2021,15:24:26,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"243,11/17/2021,15:24:27,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"244,11/17/2021,15:24:28,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"245,11/17/2021,15:24:29,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"246,11/17/2021,15:24:30,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"247,11/17/2021,15:24:31,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"248,11/17/2021,15:24:32,0,-18.2,K,Deg-C,-18.1,K,Deg-C"
"249,11/17/2021,15:24:33,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"250,11/17/2021,15:24:34,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"251,11/17/2021,15:24:35,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"252,11/17/2021,15:24:36,0,-18.3,K,Deg-C,-18.1,K,Deg-C"
"253,11/17/2021,15:24:37,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"254,11/17/2021,15:24:38,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"255,11/17/2021,15:24:39,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"256,11/17/2021,15:24:40,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"257,11/17/2021,15:24:41,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"258,11/17/2021,15:24:42,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"259,11/17/2021,15:24:43,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"260,11/17/2021,15:24:44,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"261,11/17/2021,15:24:45,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"262,11/17/2021,15:24:46,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"263,11/17/2021,15:24:47,0,-18.3,K,Deg-C,-18.2,K,Deg-C"
"264,11/17/2021,15:24:48,0,-18.4,K,Deg-C,-18.2,K,Deg-C"
"265,11/17/2021,15:24:49,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"266,11/17/2021,15:24:50,0,-18.4,K,Deg-C,-18.2,K,Deg-C"
"267,11/17/2021,15:24:51,0,-18.4,K,Deg-C,-18.2,K,Deg-C"
"268,11/17/2021,15:24:52,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"269,11/17/2021,15:24:53,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"270,11/17/2021,15:24:54,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"271,11/17/2021,15:24:55,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"272,11/17/2021,15:24:56,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"273,11/17/2021,15:24:57,0,-18.4,K,Deg-C,-18.3,K,Deg-C"
"274,11/17/2021,15:24:58,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"275,11/17/2021,15:24:59,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"276,11/17/2021,15:25:00,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"277,11/17/2021,15:25:01,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"278,11/17/2021,15:25:02,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"279,11/17/2021,15:25:03,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"280,11/17/2021,15:25:04,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"281,11/17/2021,15:25:05,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"282,11/17/2021,15:25:06,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"283,11/17/2021,15:25:07,0,-18.5,K,Deg-C,-18.3,K,Deg-C"
"284,11/17/2021,15:25:08,0,-18.5,K,Deg-C,-18.4,K,Deg-C"
"285,11/17/2021,15:25:09,0,-18.5,K,Deg-C,-18.4,K,Deg-C"
"286,11/17/2021,15:25:10,0,-18.5,K,Deg-C,-18.4,K,Deg-C"
"287,11/17/2021,15:25:11,0,-18.5,K,Deg-C,-18.4,K,Deg-C"
"288,11/17/2021,15:25:12,0,-18.5,K,Deg-C,-18.4,K,Deg-C"
